codigo,nivel,padre,nombre,label
53600,3,53000,Concesión de Préstamos a Largo Plazo a Instituciones de Seguridad Social,53600 - Concesión de Préstamos a Largo Plazo a Instituciones de Seguridad Social
53700,3,53000,Concesión de Préstamos a Largo Plazo a Empresas Públicas Nacionales,53700 - Concesión de Préstamos a Largo Plazo a Empresas Públicas Nacionales
53800,3,53000,Concesión de Préstamos a Largo Plazo a Empresas Públicas Territoriales,53800 - Concesión de Préstamos a Largo Plazo a Empresas Públicas Territoriales
53810,4,53800,Del Gobierno Autónomo Departamental,53810 - Del Gobierno Autónomo Departamental
53820,4,53800,Del Gobierno Autónomo Municipal,53820 - Del Gobierno Autónomo Municipal
53830,4,53800,Del Gobierno Autónomo Indígena Originario Campesino,53830 - Del Gobierno Autónomo Indígena Originario Campesino
53840,4,53800,Del Gobierno Autónomo Regional,53840 - Del Gobierno Autónomo Regional
54000,2,50000,Concesión de Préstamos al Sector Público Financiero y a los Sectores Privado y del Exterior,54000 - Concesión de Préstamos al Sector Público Financiero y a los Sectores Privado y del Exterior
54100,3,54000,Concesión de Préstamos a Corto Plazo a Instituciones Públicas Financieras No Bancarias,54100 - Concesión de Préstamos a Corto Plazo a Instituciones Públicas Financieras No Bancarias
54200,3,54000,Concesión de Préstamos a Corto Plazo a Instituciones Públicas Financieras Bancarias,54200 - Concesión de Préstamos a Corto Plazo a Instituciones Públicas Financieras Bancarias
54300,3,54000,Concesión de Préstamos a Corto Plazo al Sector Privado,54300 - Concesión de Préstamos a Corto Plazo al Sector Privado
54400,3,54000,Concesión de Préstamos a Corto Plazo al Exterior,54400 - Concesión de Préstamos a Corto Plazo al Exterior
54600,3,54000,Concesión de Préstamos a Largo Plazo a Instituciones Públicas Financieras No Bancarias,54600 - Concesión de Préstamos a Largo Plazo a Instituciones Públicas Financieras No Bancarias
54700,3,54000,Concesión de Préstamos a Largo Plazo a Instituciones Públicas Financieras Bancarias,54700 - Concesión de Préstamos a Largo Plazo a Instituciones Públicas Financieras Bancarias
54800,3,54000,Concesión de Préstamos a Largo Plazo al Sector Privado,54800 - Concesión de Préstamos a Largo Plazo al Sector Privado
54900,3,54000,Concesión de Préstamos a Largo Plazo al Exterior,54900 - Concesión de Préstamos a Largo Plazo al Exterior
55000,2,50000,Compra de Títulos y Valores,55000 - Compra de Títulos y Valores
55100,3,55000,Títulos y Valores a Corto Plazo,55100 - Títulos y Valores a Corto Plazo
55110,4,55100,Letras del Tesoro,55110 - Letras del Tesoro
55120,4,55100,Bonos del Tesoro,55120 - Bonos del Tesoro
55130,4,55100,Otros,55130 - Otros
55200,3,55000,Títulos y Valores a Largo Plazo,55200 - Títulos y Valores a Largo Plazo
55210,4,55200,Letras del Tesoro,55210 - Letras del Tesoro
55220,4,55200,Bonos del Tesoro,55220 - Bonos del Tesoro
55230,4,55200,Otros,55230 - Otros
56000,2,50000,Constitución de Fideicomisos y Servicios Financieros,56000 - Constitución de Fideicomisos y Servicios Financieros
56100,3,56000,Colocación de Fondos en Fideicomiso,56100 - Colocación de Fondos en Fideicomiso
56200,3,56000,Concesiones de Recursos de Fideicomisos,56200 - Concesiones de Recursos de Fideicomisos
56300,3,56000,Colocación de Fondos por Servicios Financieros,56300 - Colocación de Fondos por Servicios Financieros
57000,2,50000,Incremento de Disponibilidades,57000 - Incremento de Disponibilidades
57100,3,57000,Incremento de Caja y Bancos,57100 - Incremento de Caja y Bancos
57200,3,57000,Incremento de Inversiones Temporales,57200 - Incremento de Inversiones Temporales
58000,2,50000,Incremento de Cuentas y Documentos por Cobrar y Otros Activos Financieros,58000 - Incremento de Cuentas y Documentos por Cobrar y Otros Activos Financieros
58100,3,58000,Incremento de Cuentas por Cobrar a Corto Plazo,58100 - Incremento de Cuentas por Cobrar a Corto Plazo
58200,3,58000,Incremento de Documentos por Cobrar y Otros Activos Financieros a Corto Plazo,58200 - Incremento de Documentos por Cobrar y Otros Activos Financieros a Corto Plazo
58210,4,58200,Incremento de Documentos por Cobrar a Corto Plazo,58210 - Incremento de Documentos por Cobrar a Corto Plazo
58220,4,58200,Incremento de Otros Activos Financieros a Corto Plazo,58220 - Incremento de Otros Activos Financieros a Corto Plazo
58300,3,58000,Incremento de Cuentas por Cobrar a Largo Plazo,58300 - Incremento de Cuentas por Cobrar a Largo Plazo
58400,3,58000,Incremento de Documentos por Cobrar y Otros Activos Financieros a Largo Plazo,58400 - Incremento de Documentos por Cobrar y Otros Activos Financieros a Largo Plazo
58410,4,58400,Incremento de Documentos por Cobrar a Largo Plazo,58410 - Incremento de Documentos por Cobrar a Largo Plazo
58420,4,58400,Incremento de Otros Activos Financieros a Largo Plazo,58420 - Incremento de Otros Activos Financieros a Largo Plazo
59000,2,50000,Afectaciones al Tesoro General de la Nación,59000 - Afectaciones al Tesoro General de la Nación
59100,3,59000,Afectaciones al Tesoro General de la Nación,59100 - Afectaciones al Tesoro General de la Nación
60000,1,,SERVICIO DE LA DEUDA PÚBLICA Y DISMINUCIÓN DE OTROS PASIVOS,60000 - SERVICIO DE LA DEUDA PÚBLICA Y DISMINUCIÓN DE OTROS PASIVOS
