nivel,departamento,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024
Municipio/TIOC,Oruro,Litoral,Esmeralda,Esmeralda,952,2702,3882,1911,1971
Municipio/TIOC,Oruro,Litoral,Huachacalla,Huachacalla,1650,1003,4011,2074,1937
Municipio/TIOC,Oruro,Litoral,Yunguyo del Litoral,Yunguyo del Litoral,221,514,875,444,431
Municipio/TIOC,Oruro,Mejillones,Carangas,Carangas,353,840,1129,575,554
Municipio/TIOC,Oruro,Mejillones,La Rivera,La Rivera,390,509,1262,616,646
Municipio/TIOC,Oruro,Mejillones,Todos Santos,Todos Santos,387,727,1140,607,533
Municipio/TIOC,Oruro,Nor Carangas,Santiago de Huayllamarca,Santiago de Huayllamarca,5790,5502,5996,3188,2808
Municipio/TIOC,Oruro,Pantaleón Dalence,Huanuni,Huanuni,19428,24677,20118,10232,9886
Municipio/TIOC,Oruro,Pantaleón Dalence,Machacamarca,Machacamarca,4180,4820,6120,3069,3051
Municipio/TIOC,Oruro,Poopó,Antequera,Antequera,3352,3264,3666,1898,1768
Municipio/TIOC,Oruro,Poopó,Pazña,Pazña,5469,5955,4251,2177,2074
Municipio/TIOC,Oruro,Poopó,Poopó,Poopó,6163,7587,9189,4726,4463
Municipio/TIOC,Oruro,Sabaya,Coipasa,Coipasa,616,903,1406,739,667
Municipio/TIOC,Oruro,Sabaya,Sabaya,Sabaya,4684,8018,15504,7988,7516
Municipio/TIOC,Oruro,Sabaya,Uru Chipaya (Nación Originaria Uru Chipaya),Uru Chipaya (Nación Originaria Uru Chipaya),1814,2003,2355,1183,1172
Municipio/TIOC,Oruro,Sajama,Curahuara de Carangas,Curahuara de Carangas,5278,4184,6683,3472,3211
Municipio/TIOC,Oruro,Sajama,Turco,Turco,4160,5207,5803,3028,2775
Municipio/TIOC,Oruro,San Pedro de Totora,Totora,Totora,4941,5531,6637,3502,3135
Municipio/TIOC,Oruro,Saucarí,Toledo,Toledo,7763,10149,12202,6236,5966
Municipio/TIOC,Oruro,Sebastián Pagador,Santiago de Huari,Santiago de Huari,10221,13283,13502,7249,6253
Municipio/TIOC,Oruro,Sur Carangas,Andamarca,Andamarca,4588,5216,6311,3282,3029
Municipio/TIOC,Oruro,Sur Carangas,Belén de Andamarca,Belén de Andamarca,1548,2016,3061,1569,1492
Municipio/TIOC,Oruro,Tomás Barrón,Eucaliptus,Eucaliptus,5424,5267,5335,2762,2573
Municipio/TIOC,Pando,Abuná,Ingavi,Ingavi,899,1654,2600,1500,1100
Municipio/TIOC,Pando,Abuná,Santa Rosa,Santa Rosa,2097,2395,2889,1647,1242
Municipio/TIOC,Pando,Federico Román,Nueva Esperanza,Nueva Esperanza,740,2068,1598,874,724
Municipio/TIOC,Pando,Federico Román,Santos Mercado,Santos Mercado,509,2165,2347,1306,1041
