codigo_entidad,nombre_entidad_sigep,departamento,key_sigep,municipio_ine_sugerido,poblacion_2024,score_aprox,municipio_ine_final
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Postrervalle,1806,0.96,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Puerto Suárez,17417,0.3846,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Trigal,2359,0.4211,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Vallegrande,17249,0.4167,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Portachuelo,20743,0.4167,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Montero,126886,0.4,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),14389,0.2727,
1728,Gobierno Autónomo Municipal de Postrer Valle,Santa Cruz,postrer valle,Puerto Quijarro,17974,0.3571,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Pampagrande,9692,0.9565,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Vallegrande,17249,0.6087,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Mairana,12735,0.4211,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Samaipata,11843,0.2857,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,La Guardia,147726,0.4545,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Warnes,151248,0.4444,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Pucará,2015,0.4444,
1731,Gobierno Autónomo Municipal de Pampa Grande,Santa Cruz,pampa grande,Yapacaní,57794,0.4,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,General Saavedra,16598,0.8,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,La Guardia,147726,0.3529,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,Buena Vista,13651,0.4,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,El Carmen Rivero Tórrez,8816,0.2979,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,Puerto Suárez,17417,0.3784,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),14389,0.2424,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,Ascención de Guarayos,34079,0.2667,
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,Santa Cruz,general agustin saavedra,San Javier,14888,0.1765,
