codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1274,Gobierno Autónomo Municipal de Santiago de Machaca,La Paz,municipal,GAM,11705478.0,General José Manuel Pando,Santiago de Machaca,4402.0,4593.0,6805.0,3408.0,3397.0,1720.1290227773695
1275,Gobierno Autónomo Municipal de Catacora,La Paz,municipal,GAM,4890386.0,General José Manuel Pando,Catacora,1735.0,2881.0,5351.0,2774.0,2577.0,913.9200149504766
1276,Gobierno Autónomo Municipal de Mapiri,La Paz,municipal,GAM,25040043.0,Larecaja,Mapiri,9633.0,13891.0,21843.0,11798.0,10045.0,1146.3646477132263
1277,Gobierno Autónomo Municipal de Teoponte,La Paz,municipal,GAM,40897486.0,Larecaja,Teoponte,7109.0,9349.0,13379.0,7310.0,6069.0,3056.8417669482023
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,La Paz,municipal,GAM,7853726.0,Ingavi,La (Marka) San Andrés de Machaca,6299.0,6145.0,7936.0,4046.0,3890.0,989.6328125
1279,Gobierno Autónomo Municipal de Jesús de Machaca,La Paz,municipal,GAM,25394213.0,Ingavi,Jesús de Machaka,13247.0,15039.0,17016.0,8536.0,8480.0,1492.372649271274
1280,Gobierno Autónomo Municipal de Taraco,La Paz,municipal,GAM,10836830.0,Ingavi,Taraco,5922.0,6603.0,7540.0,3626.0,3914.0,1437.2453580901856
1281,Gobierno Autónomo Municipal de Huarina,La Paz,municipal,GAM,10914396.0,Omasuyos,Huarina,8290.0,7948.0,8679.0,4076.0,4603.0,1257.5637746284135
1282,Gobierno Autónomo Municipal de Santiago de Huata,La Paz,municipal,GAM,10133057.0,Omasuyos,Santiago de Huata,7857.0,8562.0,9287.0,4612.0,4675.0,1091.1012167546032
1283,Gobierno Autónomo Municipal de Escoma,La Paz,municipal,GAM,8340439.0,Camacho,Escoma,7241.0,7186.0,8837.0,4461.0,4376.0,943.8088717890687
1284,Gobierno Autónomo Municipal de Humanata,La Paz,municipal,GAM,5501945.0,Camacho,Humanata,5599.0,5342.0,5658.0,2925.0,2733.0,972.4186991869918
1285,Gobierno Autónomo Municipal de Alto Beni,La Paz,municipal,GAM,10227654.0,Caranavi,Alto Beni,8093.0,11194.0,10585.0,5749.0,4836.0,966.2403401039206
1286,Gobierno Autónomo Municipal de Huatajata,La Paz,municipal,GAM,6951578.0,Omasuyos,Huatajata,2809.0,3927.0,5118.0,2604.0,2514.0,1358.2606486908949
1287,Gobierno Autónomo Municipal de Chua Cocani,La Paz,municipal,GAM,7448504.0,Omasuyos,Chua Cocani,5540.0,5003.0,7226.0,3646.0,3580.0,1030.7921394962634
1301,Gobierno Autónomo Municipal de Cochabamba,Cochabamba,municipal,GAM,1632368430.0,Cercado,Cochabamba,517024.0,632013.0,665505.0,319373.0,346132.0,2452.8266955169383
