DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
Cochabamba,Cercado,Cochabamba,Cochabamba,1826-01-26,MDS,1826-01-26,-66.1686801616,-17.4251476077,Cochabamba,3457488617.941836,755955.8434088483,664324.3601905811,3,4573.664782258851
La Paz,General José Manuel Pand,Catacora,Catacora,1986-04-29,849,1986-04-29,-69.4804557014,-17.2527907175,Catacora,6027916.608539705,2868.443577466866,3266.256979955884,4,2101.45901278734
La Paz,Loayza,Yaco,Yaco,1899-05-29,CSDS,1938-02-18,-67.3987376447,-17.2401309977,Yaco,25411201.38441112,12192.011846575017,5466.9729149928735,3,2084.2500568558453
La Paz,Pacajes,Calacoto,Calacoto,1856-03-29,104,1961-10-20,-68.7719409866,-17.561889212,Calacoto,28669525.119504996,16437.866818776707,7603.489312051031,14,1744.1146978241889
Oruro,Poopó,Antequera,Antequera,1903-10-16,535,1980-04-14,-66.7754252648,-18.5249436596,Antequera (Bolivar),8411204.10699157,3535.2905118486865,2586.870433156255,4,2379.211575060391
Potosí,Rafael Bustillo,Llallagua,Llallagua,2009-06-17,CSL,1957-12-22,-66.5721350028,-18.3633877944,Llallagua,103949770.06655875,36155.133713740666,31636.311059757994,2,2875.104013985513
Potosí,Alonso de Ibáñez,Caripuyo,Caripuyo,1923-11-12,CSL,1938-11-10,-66.5932452329,-18.1802232051,Caripuyo,16241963.878750945,8802.241741541493,6533.0021599711945,5,1845.2076591010064
La Paz,Aroma,Collana,Collana,1945-11-23,823,1986-04-03,-68.3011802329,-16.903720427,Collana,7972798.291689534,3576.8062488639316,5399.815918172768,2,2229.0271647288305
Oruro,Sur Carangas,Belen de Andamarca,Belen de Andamarca,1980-03-31,509,1980-03-31,-67.7498010357,-18.8920375314,Belen de Andamarca,4750053.405129925,2260.2649275130807,1524.906365374627,6,2101.547189141365
Cochabamba,Punata,San Benito,Villa José Quintín Mendoza,1872-01-24,ML,1948-10-29,-65.8789686107,-17.498199099,San Benito,50406145.51093154,17535.13562705015,15744.868559778664,2,2874.579734255019
Oruro,Carangas,Corque,Corque,1950-11-11,ML,1950-11-11,-67.7994522034,-18.4641491301,Corque,20394430.945912227,8911.363150571255,7012.638928848901,10,2288.5871220055556
Cochabamba,Campero,Aiquile,Aiquile,1899-07-08,MDS,1899-07-08,-65.1045067081,-18.3231029086,Aiquile,41500911.48666817,16980.624580088584,24420.93717286644,11,2444.015606783509
Potosí,Alonso de Ibáñez,Sacaca,Villa de Sacaca,1923-11-12,CSL,1923-11-12,-66.3436341661,-18.1176532286,Sacaca,34028036.79757314,17324.616159088866,21354.27873187254,7,1964.1437642889018
Potosí,General Bilbao,Acasio,Acasio,1938-11-10,CSL,1938-11-10,-66.0144653737,-18.050003992,Acasio,14132701.851189123,7335.591033419989,6901.220446046384,4,1926.593479216929
Oruro,Pantaleón Dalence,Huanuni,Villa de Huanuni,1990-11-19,CSL,1941-11-26,-66.765010495,-18.2626895054,Villa Huanuni,68864367.8405085,25591.51275465262,20797.55991747453,4,2690.906493129787
La Paz,Pacajes,Corocoro,Corocoro,1856-03-29,MDS,1856-03-29,-68.4322348243,-17.1731345087,Corocoro,21714355.508280266,8910.76885533113,11802.360340761988,6,2436.8666566060697
La Paz,General José Manuel Pand,Santiago de Machaca,Santiago de Machaca,1986-04-29,849,1986-04-29,-69.2706147403,-17.1895208124,Santiago de Machaca,11590507.353724334,5718.936393103377,5296.389738457445,6,2026.6893277046493
Oruro,Pantaleón Dalence,Machacamarca,Machacamarca,1990-11-19,1206,1990-11-19,-66.9744795254,-18.1532895953,Machacamarca,11748802.070564337,5208.69019722027,3741.022903866825,2,2255.6154475907088
Potosí,General Bilbao,Arampampa,Arampampa,1938-11-10,CSL,1938-11-10,-66.1259235733,-17.9452662594,Arampampa,15564759.9745912,4827.068793707519,4163.425859816278,4,3224.474446040865
