codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,ingresos_total,recursos_propios,recursos_especificos,recursos_especificos_gam_gaioc,otros_recursos_especificos,transferencias_tgn,coparticipacion,idh,regalias,otros_recursos,autonomia_fiscal_pct,autonomia_fiscal_aplica,autonomia_fiscal_base,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_pct,recursos_especificos_gam_gaioc_pct,otros_recursos_especificos_pct
"1310","Gobierno Autónomo Municipal de Independencia","Cochabamba","municipal","GAM",25066704.0,1577500.0,2821623.0,1577500.0,70494.0,22245081.0,18055069.0,2040789.0,1173629.0,2149223.0,6.293209,True,"20/210 Recursos Específicos GAM/GAIOC",88.743542,72.028094,8.141433,4.682024,11.256458,6.293209,0.281226
"1342","Gobierno Autónomo Municipal de Mizque","Cochabamba","municipal","GAM",26652742.0,2669600.0,4262357.0,2669600.0,522051.0,22390385.0,16499558.0,1864969.0,1070706.0,4025858.0,10.01623,True,"20/210 Recursos Específicos GAM/GAIOC",84.007811,61.905668,6.997288,4.017245,15.992189,10.01623,1.958714
"1311","Gobierno Autónomo Municipal de Morochata","Cochabamba","municipal","GAM",24730065.0,1000000.0,1000059.0,1000000.0,59.0,23730006.0,12136478.0,1371803.0,0.0,10221725.0,4.043661,True,"20/210 Recursos Específicos GAM/GAIOC",95.9561,49.075803,5.547106,0.0,4.0439,4.043661,0.000239
"1309","Gobierno Autónomo Municipal de Omereque","Cochabamba","municipal","GAM",8441040.0,482370.0,579159.0,482370.0,96789.0,7861881.0,5551952.0,627546.0,0.0,1682383.0,5.71458,True,"20/210 Recursos Específicos GAM/GAIOC",93.138772,65.773317,7.434463,0.0,6.861228,5.71458,1.146648
"1308","Gobierno Autónomo Municipal de Pasorapa","Cochabamba","municipal","GAM",6595000.0,454501.0,495501.0,454501.0,41000.0,6099499.0,5477363.0,607811.0,0.0,14325.0,6.8916,True,"20/210 Recursos Específicos GAM/GAIOC",92.486717,83.053268,9.21624,0.0,7.513283,6.8916,0.621683
"1333","Gobierno Autónomo Municipal de Pocona","Cochabamba","municipal","GAM",11603755.0,198000.0,200000.0,198000.0,2000.0,11403755.0,10156132.0,1147962.0,0.0,99661.0,1.706344,True,"20/210 Recursos Específicos GAM/GAIOC",98.27642,87.52453,9.893022,0.0,1.72358,1.706344,0.017236
"1332","Gobierno Autónomo Municipal de Pojo","Cochabamba","municipal","GAM",14766564.0,1963500.0,2000000.0,1963500.0,36500.0,12766564.0,10243533.0,1112628.0,0.0,1410403.0,13.296932,True,"20/210 Recursos Específicos GAM/GAIOC",86.455888,69.36978,7.534779,0.0,13.544112,13.296932,0.24718
"1335","Gobierno Autónomo Municipal de Puerto Villarroel","Cochabamba","municipal","GAM",89805237.0,12541463.0,16313774.0,12541463.0,3772311.0,71989463.0,55077957.0,6046628.0,0.0,10864878.0,13.96518,True,"20/210 Recursos Específicos GAM/GAIOC",80.161765,61.330451,6.733046,0.0,18.165727,13.96518,4.200547
"1315","Gobierno Autónomo Municipal de Punata","Cochabamba","municipal","GAM",62651031.0,14030000.0,21373582.0,14030000.0,7343582.0,39101254.0,29142815.0,3417129.0,0.0,6541310.0,22.393885,True,"20/210 Recursos Específicos GAM/GAIOC",62.41119,46.516098,5.454226,0.0,34.115292,22.393885,11.721406
"1302","Gobierno Autónomo Municipal de Quillacollo","Cochabamba","municipal","GAM",315423173.0,131423720.0,132320658.0,131423720.0,896938.0,177408822.0,154367663.0,19083377.0,0.0,3957782.0,41.665842,True,"20/210 Recursos Específicos GAM/GAIOC",56.244701,48.939861,6.050087,0.0,41.950202,41.665842,0.28436
"1312","Gobierno Autónomo Municipal de Sacaba","Cochabamba","municipal","GAM",330508349.0,113500000.0,114330000.0,113500000.0,830000.0,216178349.0,191658084.0,20533069.0,0.0,3987196.0,34.341039,True,"20/210 Recursos Específicos GAM/GAIOC",65.407833,57.988878,6.212572,0.0,34.592167,34.341039,0.251128
