status,departamento,municipio,match_key,pib_col,pib_value,old_pop_col,old_pop_value,pob_2012,pob_2024,pob_retro_2021,pibpc_retro_2021
ok,La Paz,Ichoca,la paz|ichoca,PIB_USD2017,19187871.503606506,POB_ESTIMADA,9038.418655319574,7913,9552,9112.887875526658,2105.5752869666017
ok,La Paz,Villa Libertad Licoma,la paz|villa libertad licoma,PIB_USD2017,6991628.74496282,POB_ESTIMADA,4971.470558218771,5488,7877,7196.546895613929,971.5254894293817
ok,La Paz,Quime,la paz|quime,PIB_USD2017,25594053.60431689,POB_ESTIMADA,13708.1639442858,8266,10887,10162.604337121682,2518.4542028097694
ok,Pando,Sena,pando|sena,PIB_USD2017,27281192.65089576,POB_ESTIMADA,12593.949832951042,8258,10522,9903.585213371085,2754.678438477282
ok,Pando,San Lorenzo,pando|san lorenzo,PIB_USD2017,22406374.11295386,POB_ESTIMADA,11025.031576367135,23863,30346,28576.389084491053,784.0869623767204
ok,Beni,Santa Rosa,beni|santa rosa,PIB_USD2017,59072091.005622745,POB_ESTIMADA,21555.641765847504,19217,17999,18296.06439956519,3228.6774748686717
ok,La Paz,Laja,la paz|laja,PIB_USD2017,104101942.8389127,POB_ESTIMADA,28608.2335393114,24531,38652,34499.10204663372,3017.526157585036
ok,La Paz,Ayo Ayo,la paz|ayo ayo,PIB_USD2017,12794238.545091929,POB_ESTIMADA,6129.638062519749,7798,11258,10270.503642683942,1245.7264989342307
ok,La Paz,Patacamaya,la paz|patacamaya,PIB_USD2017,51168284.6880591,POB_ESTIMADA,23068.4086608656,22858,25148,24554.84210616714,2083.836844351273
ok,La Paz,Umala,la paz|umala,PIB_USD2017,26890025.920464173,POB_ESTIMADA,13199.515566463162,8903,9102,9051.83683077428,2970.670641017735
ok,La Paz,Sica Sica,la paz|sica sica,PIB_USD2017,70759613.48201168,POB_ESTIMADA,32634.526496675287,31312,33885,33222.57722183624,2129.8652723276214
ok,Oruro,Eucaliptus,oruro|eucaliptus,PIB_USD2017,16099256.744494252,POB_ESTIMADA,7679.059116826733,5267,5335,5317.918134645575,3027.3607710524157
ok,Oruro,Caracollo,oruro|caracollo,PIB_USD2017,37668047.283442006,POB_ESTIMADA,14319.560621507484,23115,22850,22915.96381151394,1643.7470225239229
ok,La Paz,Palca,la paz|palca,PIB_USD2017,35986262.31085038,POB_ESTIMADA,12840.220278390272,16622,21729,20321.259624702798,1770.867700893157
ok,La Paz,Achocalla,la paz|achocalla,PIB_USD2017,67246283.28898302,POB_ESTIMADA,15640.007545320348,22431,46188,38557.514155349476,1744.0513156020784
ok,La Paz,El Alto,la paz|el alto,PIB_USD2017,4407125575.474515,POB_ESTIMADA,1126531.9976922155,848452,885825,876330.1809284807,5029.069717540849
ok,La Paz,Yanacachi,la paz|yanacachi,PIB_USD2017,19024437.824818853,POB_ESTIMADA,8371.528779249265,6420,7615,7296.862922781333,2607.207785886067
ok,Cochabamba,Tapacarí,cochabamba|tapacari,PIB_USD2017,61275698.23681551,POB_ESTIMADA,29556.52806129393,24625,24666,24655.743604689407,2485.2504641215187
ok,Chuquisaca,Tarvita,chuquisaca|tarvita,PIB_USD2017,29223325.52640482,POB_ESTIMADA,14946.981537640471,14261,16812,16134.370699543186,1811.2466901006696
ok,Potosí,Puna,potosi|puna,PIB_USD2017,47993317.63923006,POB_ESTIMADA,23284.22921654519,21917,16389,17624.20835059315,2723.147427930561
ok,Chuquisaca,San Lucas,chuquisaca|san lucas,PIB_USD2017,88292052.62470052,POB_ESTIMADA,44058.31768847782,32520,26715,28061.05649440273,3146.426530387832
ok,Chuquisaca,Camargo,chuquisaca|camargo,PIB_USD2017,36434147.11503277,POB_ESTIMADA,13718.1803722683,15644,14713,14940.422465182224,2438.6289745112904
ok,La Paz,Desaguadero,la paz|desaguadero,PIB_USD2017,11985471.420226166,POB_ESTIMADA,5063.756610367513,6987,7897,7658.9509699326445,1564.8972642961794
ok,La Paz,Jesús de Machaca,la paz|jesus de machaka,PIB_USD2017,32271312.677195013,POB_ESTIMADA,18136.968640299307,15039,17016,16498.62864718702,1955.9996995688005
ok,La Paz,Puerto Mayor de Guaqui,la paz|puerto mayor de guaqui,PIB_USD2017,13167625.46837164,POB_ESTIMADA,6423.380407259974,7278,8592,8242.780102701683,1597.4738261009502
ok,La Paz,Tito Yupanqui,la paz|tito yupanqui,PIB_USD2017,9938429.264572429,POB_ESTIMADA,4678.582348000595,6261,7525,7186.8867961596925,1382.855963430928
ok,La Paz,Pucarani,la paz|pucarani,PIB_USD2017,53416519.34011121,POB_ESTIMADA,19024.6571254735,30124,49850,43951.83702684626,1215.342132513911
ok,La Paz,Quiabaya,la paz|quiabaya,PIB_USD2017,4341131.813820665,POB_ESTIMADA,2577.838867813973,2684,4224,3771.2781075673715,1151.1036020148808
ok,La Paz,Huatajata,la paz|huatajata,PIB_USD2017,4534832.270513535,POB_ESTIMADA,2363.7983581577364,3927,5118,4790.054298690807,946.7183434127192
ok,La Paz,Apolo,la paz|apolo,PIB_USD2017,37168948.83762164,POB_ESTIMADA,19766.942015170203,20308,19156,19437.723944461617,1912.206848076581
ok,La Paz,Aucapata,la paz|aucapata,PIB_USD2017,8017129.221564236,POB_ESTIMADA,5034.758015433506,5495,6721,6390.978341171758,1254.4447490795799
ok,La Paz,Chua Cocani,la paz|chua cocani,PIB_USD2017,12888517.385360813,POB_ESTIMADA,6487.168704633502,5003,7226,6591.451997277551,1955.3381243896067
