departamento,municipio,codigo_entidad,poblacion_retro_2021,pib_estimado_usd2017_2021,pibpc_usd2017_2021,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct,nivel_pibpc,nivel_nbi,categoria_brecha,score_brecha_bienestar_producto,metodo
Chuquisaca,Tarabuco,1117,14148.340612,42907913.73832583,3032.717045496317,61.5,51.8,9.3,0.3,medio,alto,Producto medio con rezago social,53.5314,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Chuquisaca,Yamparáez,1118,8861.258721,26312372.98427733,2969.37193825189,56.6,48.6,7.8,0.2,medio,medio,Situación intermedia,50.0219,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Chuquisaca,Yotala,1102,9306.829764,30914235.655400146,3321.671980639746,33.5,30.9,2.6,0.0,medio,bajo,Bienestar relativo con producto medio,41.8465,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Tacobamba,1510,13686.549175,15753628.98328698,1151.0300209433178,90.5,56.4,32.1,1.9,bajo,alto,Rezago estructural,49.775,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Betanzos,1508,32396.956662,76086740.09666157,2348.576778084907,60.6,52.3,8.3,0.1,bajo,alto,Rezago estructural,44.2403,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Chuquisaca,Villa Ricardo Mugia - Icla,,8788.300442,14366028.929915205,1634.6765821908791,,,,,bajo,sin_dato,Sin dato,,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Cruz de Machacamarca,1420,1618.789115,8867694.3412397,5477.979964707485,43.5,35.9,7.6,0.1,alto,medio,Producto alto con mejor bienestar relativo,68.925,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Pando,Porvenir,1902,8980.027474,27998698.453647155,3117.88561171799,23.7,22.5,1.2,0.0,medio,bajo,Bienestar relativo con producto medio,33.8364,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Colquiri,1221,22466.992607,34722153.75665547,1545.4740366658875,63.5,50.6,12.5,0.4,bajo,alto,Rezago estructural,35.5097,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Santiago de Callapa,1245,7843.094789,12782537.922356054,1629.7824093063366,89.8,67.2,22.2,0.5,bajo,alto,Rezago estructural,51.0586,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Cochabamba,1301,656969.177976,2974353925.812473,4527.387319717812,17.0,16.0,1.0,0.0,alto,bajo,Producto alto con mejor bienestar relativo,48.2736,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Catacora,1275,4583.656117,5920435.030996007,1291.6403150004207,71.5,65.0,6.1,0.5,bajo,alto,Rezago estructural,39.325,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Yaco,1253,10798.824259,24958103.541583005,2311.1871202844145,72.8,60.6,11.8,0.4,bajo,alto,Rezago estructural,50.4695,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Calacoto,1240,11586.572807,28158329.297235724,2430.2552417171123,81.0,66.0,14.8,0.2,bajo,alto,Rezago estructural,56.5104,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Antequera,1410,3561.081252,7624825.799514208,2141.154682819764,34.1,30.4,3.7,0.0,bajo,bajo,"Bajo producto, menor pobreza relativa",26.9984,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Llallagua,1507,41539.73196,107111303.47180332,2578.526591707194,27.4,23.6,3.6,0.1,medio,bajo,Bienestar relativo con producto medio,28.9368,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Caripuyo,1527,8518.840387,16735947.764781356,1964.5805066944,83.5,65.2,18.1,0.2,bajo,alto,Rezago estructural,51.8982,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Collana,1217,5400.809648,7830638.239804529,1449.9008020621047,39.1,35.3,3.5,0.3,bajo,bajo,"Bajo producto, menor pobreza relativa",21.505,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Belen de Andamarca,1425,2757.529258,4305962.534234489,1561.52922813472,54.8,49.5,5.3,0.0,bajo,medio,"Bajo producto, menor pobreza relativa",30.9311,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,San Benito,1317,13179.187638,43362606.02782876,3290.2336030328493,20.9,19.3,1.6,0.0,medio,bajo,Bienestar relativo con producto medio,34.5123,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Corque,1414,14006.645692,18487719.62548672,1319.9248436581847,79.8,69.2,10.4,0.1,bajo,alto,Rezago estructural,43.89,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Aiquile,1307,23158.916232,35701751.370810725,1541.598536528998,51.0,40.7,10.0,0.3,bajo,medio,"Bajo producto, menor pobreza relativa",28.5848,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Sacaca,1526,17777.305782,35062967.17771284,1972.344269059476,78.0,60.1,17.5,0.4,bajo,alto,Rezago estructural,48.973,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Acasio,1534,4844.135744,14562534.538459972,3006.219335636558,72.7,58.7,13.5,0.4,medio,alto,Producto medio con rezago social,59.3507,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Huanuni,1406,21171.990631,62426116.62949532,2948.523722597327,13.5,12.2,1.3,0.0,medio,bajo,Bienestar relativo con producto medio,26.0489,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Corocoro,1238,12758.080041,21327174.772888497,1671.6602109691823,67.6,56.2,11.1,0.3,bajo,alto,Rezago estructural,39.3871,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
La Paz,Santiago de Machaca,1274,6168.011979,11383841.254006688,1845.6256719962528,68.7,60.2,8.5,0.0,bajo,alto,Rezago estructural,42.2288,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Machacamarca,1407,5765.345338,10650385.842683569,1847.310996765544,27.0,24.7,2.1,0.1,bajo,bajo,"Bajo producto, menor pobreza relativa",19.3154,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Arampampa,1533,3785.980382,16038147.347865572,4236.193992100587,79.6,59.5,19.6,0.5,alto,alto,Producto alto con rezago social,78.9596,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Sacabamba,1323,4823.924023,10749390.444447065,2228.3498649164358,73.6,60.3,13.0,0.2,bajo,alto,Rezago estructural,49.8445,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Anzaldo,1321,7298.985625,17462024.98864104,2392.390653486859,73.6,56.4,16.6,0.5,bajo,alto,Rezago estructural,51.9536,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Toco,1325,7299.373054,17030791.76781755,2333.1855546618344,39.7,36.0,3.7,0.1,bajo,bajo,"Bajo producto, menor pobreza relativa",32.5474,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Villa Gualberto Villarroel,1319,3525.815101,8606517.760359889,2441.000879034733,44.3,38.1,6.1,0.0,bajo,medio,"Bajo producto, menor pobreza relativa",36.4636,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Tacachi,1318,1290.981486,4244920.910805219,3288.134614325025,29.6,27.5,2.1,0.0,medio,bajo,Bienestar relativo con producto medio,39.2703,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Villa Rivero,1316,8480.57601,22805254.54558273,2689.1162248764444,37.1,33.7,3.2,0.1,medio,bajo,Bienestar relativo con producto medio,35.6936,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Cliza,1324,21338.596102,66003019.23645288,3093.1284757900385,15.6,15.2,0.4,0.0,medio,bajo,Bienestar relativo con producto medio,29.0631,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Tacopaya,1339,10623.535844,20766779.129821,1954.7897645097223,82.6,64.9,17.1,0.6,bajo,alto,Rezago estructural,51.2773,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,El Choro,1403,9662.591689,12153508.671341864,1257.7897382729025,93.0,66.9,25.1,1.0,bajo,alto,Rezago estructural,51.15,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Toledo,1423,11652.767427,27633224.032155327,2371.3872439156867,81.4,64.4,16.8,0.3,bajo,alto,Rezago estructural,55.9736,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Santivañez,1328,7560.382706,20693517.48207112,2737.099203518303,32.4,28.3,3.9,0.3,medio,bajo,Bienestar relativo con producto medio,33.7256,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Paria,1435,14977.585211,34060360.28002704,2274.088900234935,59.8,51.8,7.8,0.2,bajo,medio,"Bajo producto, menor pobreza relativa",42.8426,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
