gestion,codigo_entidad,nombre_entidad,total_general_ingresos,file
2026,1278,Gobierno Autónomo Municipal de San Andrés de Machaca,7853726,data\raw\sigep_2026\recursos_por_rubro\2026_1278_Gobierno_Autónomo_Municipal_de_San_Andrés_de_Machaca_recursos_por_rubro.pdf
2026,1279,Gobierno Autónomo Municipal de Jesús de Machaca,25394213,data\raw\sigep_2026\recursos_por_rubro\2026_1279_Gobierno_Autónomo_Municipal_de_Jesús_de_Machaca_recursos_por_rubro.pdf
2026,1280,Gobierno Autónomo Municipal de Taraco,10836830,data\raw\sigep_2026\recursos_por_rubro\2026_1280_Gobierno_Autónomo_Municipal_de_Taraco_recursos_por_rubro.pdf
2026,1281,Gobierno Autónomo Municipal de Huarina,10914396,data\raw\sigep_2026\recursos_por_rubro\2026_1281_Gobierno_Autónomo_Municipal_de_Huarina_recursos_por_rubro.pdf
2026,1282,Gobierno Autónomo Municipal de Santiago de Huata,10133057,data\raw\sigep_2026\recursos_por_rubro\2026_1282_Gobierno_Autónomo_Municipal_de_Santiago_de_Huata_recursos_por_rubro.pdf
2026,1283,Gobierno Autónomo Municipal de Escoma,8340439,data\raw\sigep_2026\recursos_por_rubro\2026_1283_Gobierno_Autónomo_Municipal_de_Escoma_recursos_por_rubro.pdf
2026,1284,Gobierno Autónomo Municipal de Humanata,5501945,data\raw\sigep_2026\recursos_por_rubro\2026_1284_Gobierno_Autónomo_Municipal_de_Humanata_recursos_por_rubro.pdf
2026,1285,Gobierno Autónomo Municipal de Alto Beni,10227654,data\raw\sigep_2026\recursos_por_rubro\2026_1285_Gobierno_Autónomo_Municipal_de_Alto_Beni_recursos_por_rubro.pdf
2026,1286,Gobierno Autónomo Municipal de Huatajata,6951578,data\raw\sigep_2026\recursos_por_rubro\2026_1286_Gobierno_Autónomo_Municipal_de_Huatajata_recursos_por_rubro.pdf
2026,1287,Gobierno Autónomo Municipal de Chua Cocani,7448504,data\raw\sigep_2026\recursos_por_rubro\2026_1287_Gobierno_Autónomo_Municipal_de_Chua_Cocani_recursos_por_rubro.pdf
2026,1301,Gobierno Autónomo Municipal de Cochabamba,1632368430,data\raw\sigep_2026\recursos_por_rubro\2026_1301_Gobierno_Autónomo_Municipal_de_Cochabamba_recursos_por_rubro.pdf
