gestion,codigo_entidad,nombre_entidad,rubro,rubro_padre,nivel_rubro,descripcion,entidad_otorgante,fuente,organismo,importe,es_detalle,es_resumen,file
2026,1103,Gobierno Autónomo Municipal de Poroma,13.3.6,13.3,3,Impuesto Municipal a la Transferencia de Inmuebles,0999,20,210,1000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,13.3.9,13.3,3,Otros,0999,20,210,500,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,14,,1,REGALIAS,,,,4386,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,14.1,14,2,Regalías Mineras,0999,20,220,4386,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15,,1,"TASAS, DERECHOS Y OTROS INGRESOS",,,,89239,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15.3,15,2,Patentes y Concesiones,,,,239,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15.3.1,15.3,3,Patentes Forestales,0312,20,230,239,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15.9,15,2,Otros Ingresos,,,,89000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15.9.1,15.9,3,Multas,0000,20,210,2000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,15.9.9,15.9,3,Otros Ingresos no Especificados,0999,20,210,87000,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,16,,1,INTERESES Y OTRAS RENTAS DE LA PROPIEDAD,,,,55000,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,16.1,16,2,Intereses,,,,200,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,16.1.9,16.1,3,OTROS INTERESES,0000,20,210,200,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,16.5,16,2,Alquiler de Equipos de las Administraciones Públicas,0000,20,210,54800,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19,,1,TRANSFERENCIAS CORRIENTES,,,,14656954,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19.2,19,2,Del Sector Público No Financiero,,,,14656954,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19.2.1,19.2,3,Del Órgano Ejecutivo,,,,14656954,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19.2.1.1,19.2.1,4,Por Subsidios o Subvenciones,0099,41,111,79313,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19.2.1.1,19.2.1,4,Por Subsidios o Subvenciones,0099,41,119,2208060,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19.2.1.2,19.2.1,4,Por Coparticipación Tributaria,0099,41,113,11340016,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,19.2.1.2,19.2.1,4,Por Coparticipación Tributaria,0099,41,119,1029565,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,23,,1,TRANSFERENCIAS DE CAPITAL,,,,479340,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,23.2,23,2,Del Sector Público No Financiero,,,,479340,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,23.2.1,23.2,3,Del Órgano Ejecutivo,,,,479340,False,True,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
2026,1103,Gobierno Autónomo Municipal de Poroma,23.2.1.1,23.2.1,4,Por Subsidios o Subvenciones,0025,41,111,66454,True,False,data\raw\sigep_2026\recursos_por_rubro\2026_1103_Gobierno_Autónomo_Municipal_de_Poroma_recursos_por_rubro.pdf
