codigo_entidad,nombre_entidad,grupo_1_detalle,grupo_2_detalle,grupo_3_detalle,grupo_4_detalle,grupo_5_detalle,grupo_6_detalle,grupo_7_detalle,grupo_8_detalle,grupo_9_detalle,total_detalle,grupo_1_pdf,grupo_2_pdf,grupo_3_pdf,grupo_4_pdf,grupo_5_pdf,grupo_6_pdf,grupo_7_pdf,grupo_8_pdf,grupo_9_pdf,total_pdf,grupo_1_diff,grupo_2_diff,grupo_3_diff,grupo_4_diff,grupo_5_diff,grupo_6_diff,grupo_7_diff,grupo_8_diff,grupo_9_diff,total_diff
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,612401,1607763,631624,0,781063,0,79058,0,0,3711909,612401,1607763,631624,0,781063,0,79058,0,0,3711909,0,0,0,0,0,0,0,0,0,0
1245,Gobierno Autónomo Municipal de Santiago de Callapa,1393365,2756572,1458546,690299,0,793807,175352,0,682013,7949954,1393365,2756572,1458546,690299,0,793807,175352,0,682013,7949954,0,0,0,0,0,0,0,0,0,0
1246,Gobierno Autónomo Municipal de Puerto Acosta,2591499,1826655,0,3678678,0,0,367263,0,9430669,17894764,2591499,1826655,0,3678678,0,0,367263,0,9430669,17894764,0,0,0,0,0,0,0,0,0,0
1247,Gobierno Autónomo Municipal de Mocomoco,3055180,3346411,4989707,4067107,2909089,0,489207,0,0,18856701,3055180,3346411,4989707,4067107,2909089,0,489207,0,0,18856701,0,0,0,0,0,0,0,0,0,0
1248,Gobierno Autónomo Municipal de Carabuco,2486417,3835552,9621597,935311,0,135399,484346,0,912687,18411309,2486417,3835552,9621597,935311,0,135399,484346,0,912687,18411309,0,0,0,0,0,0,0,0,0,0
1249,Gobierno Autónomo Municipal de Apolo,1364907,2460753,25134,0,0,0,641683,0,14340839,18833316,1364907,2460753,25134,0,0,0,641683,0,14340839,18833316,0,0,0,0,0,0,0,0,0,0
1250,Gobierno Autónomo Municipal de Pelechuco,0,1161097,16317,1692544,0,0,208652,0,8580869,11659479,0,1161097,16317,1692544,0,0,208652,0,8580869,11659479,0,0,0,0,0,0,0,0,0,0
1251,Gobierno Autónomo Municipal de Luribay,1850006,3117461,2325606,943570,0,1396375,299034,0,745109,10677161,1850006,3117461,2325606,943570,0,1396375,299034,0,745109,10677161,0,0,0,0,0,0,0,0,0,0
1252,Gobierno Autónomo Municipal de Sapahaqui,2336218,3674480,4474279,4532882,0,195000,578308,0,4251040,20042207,2336218,3674480,4474279,4532882,0,195000,578308,0,4251040,20042207,0,0,0,0,0,0,0,0,0,0
1253,Gobierno Autónomo Municipal de Yaco,1661692,3716712,3458286,3811220,0,0,346498,0,2418140,15412548,1661692,3716712,3458286,3811220,0,0,346498,0,2418140,15412548,0,0,0,0,0,0,0,0,0,0
1254,Gobierno Autónomo Municipal de Malla,0,635077,0,2871312,0,0,103189,0,4130044,7739622,0,635077,0,2871312,0,0,103189,0,4130044,7739622,0,0,0,0,0,0,0,0,0,0
1255,Gobierno Autónomo Municipal de Cairoma,0,1788052,0,2067421,0,0,407044,0,11467681,15730198,0,1788052,0,2067421,0,0,407044,0,11467681,15730198,0,0,0,0,0,0,0,0,0,0
1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),2798516,2387586,6030,11067465,0,0,636931,0,12167694,29064222,2798516,2387586,6030,11067465,0,0,636931,0,12167694,29064222,0,0,0,0,0,0,0,0,0,0
