gestion,codigo_entidad,nombre_entidad,objeto_gasto,objeto_padre,nivel_objeto,descripcion,entidad_transferencia,file,fuente_columna,monto
2026,1125,Gobierno Autónomo Municipal de Las Carreras,4.6.3.10,4.6.3,4,Consultoría por Producto,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,445180
2026,1125,Gobierno Autónomo Municipal de Las Carreras,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,2663
2026,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,4.2.2.30,4.2.2,4,O Pr t i r v a a s d C o onstrucciones y Mejoras de Bienes Públicos de Dominio,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1126_Gobierno_Autónomo_Municipal_de_Villa_Vaca_Guzmán_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,1235178
2026,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,4.2.2.40,4.2.2,4,S D u o p m e in rv io is i ó P n ri v d a e d C o onstrucciones y Mejoras de Bienes Públicos de,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1126_Gobierno_Autónomo_Municipal_de_Villa_Vaca_Guzmán_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,61759
2026,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1126_Gobierno_Autónomo_Municipal_de_Villa_Vaca_Guzmán_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,46313
2026,1128,Gobierno Autónomo Municipal de Machareti,2.5.2.30,2.5.2,4,AUDITORÍAS EXTERNAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1128_Gobierno_Autónomo_Municipal_de_Machareti_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,37645
2026,1128,Gobierno Autónomo Municipal de Machareti,4.3.2,4.3,3,Maquinaria y Equipo de Producción,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1128_Gobierno_Autónomo_Municipal_de_Machareti_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,687485
2026,1128,Gobierno Autónomo Municipal de Machareti,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1128_Gobierno_Autónomo_Municipal_de_Machareti_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,23063
2026,1129,Gobierno Autónomo Municipal de Villa Charcas,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1129_Gobierno_Autónomo_Municipal_de_Villa_Charcas_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,37800
2026,1201,Gobierno Autónomo Municipal de La Paz,4.2.3.10,4.2.3,4,Construcciones y Mejoras de Bienes de Dominio Público,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1201_Gobierno_Autónomo_Municipal_de_La_Paz_objeto_gasto_fuente_total_gastos.pdf,monto_01_tgn,785196
