codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1502,Gobierno Autónomo Municipal de Tinguipaya,TIN,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1503,Gobierno Autónomo Municipal de Yocalla,YOC,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1504,Gobierno Autónomo Municipal de Urmiri,URM,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1505,Gobierno Autónomo Municipal de Uncía,UNC,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1506,Gobierno Autónomo Municipal de Chayanta,CHY,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1507,Gobierno Autónomo Municipal de Llallagua,LLA,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1508,Gobierno Autónomo Municipal de Betanzos,BET,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1509,Gobierno Autónomo Municipal de Chaqui,CHQ,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1510,Gobierno Autónomo Municipal de Tacobamba,TCB,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1511,Gobierno Autónomo Municipal de Colquechaca,CCQ,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1512,Gobierno Autónomo Municipal de Ravelo,RAV,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1513,Gobierno Autónomo Municipal de Pocoata,PCT,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1514,Gobierno Autónomo Municipal de Ocurí,OCU,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,PED,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1516,Gobierno Autónomo Municipal de Toro Toro,TTO,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1517,Gobierno Autónomo Municipal de Cotagaita,COT,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1518,Gobierno Autónomo Municipal de Vitichi,VIT,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1519,Gobierno Autónomo Municipal de Tupiza,TUP,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1520,Gobierno Autónomo Municipal de Atocha,ATO,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1521,"Gobierno Autónomo Municipal de Colcha""K"" (Villa Martín)",CCK,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1522,Gobierno Autónomo Municipal de San Pedro de Quemes,PEQ,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1523,Gobierno Autónomo Municipal de San Pablo de Lípez,PAB,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1524,Gobierno Autónomo Municipal de Mojinete,MOJ,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1525,Gobierno Autónomo Municipal de San Antonio de Esmoruco,SANT,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1526,Gobierno Autónomo Municipal de Sacaca (Villa de Sacaca),SAC,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1527,Gobierno Autónomo Municipal de Caripuyo,CRP,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1528,Gobierno Autónomo Municipal de Puna (Villa Talavera),PUN,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1529,"Gobierno Autónomo Municipal de Caiza ""D""",CAD,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1530,Gobierno Autónomo Municipal de Uyuni,UYU,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1531,Gobierno Autónomo Municipal de Tomave,TOM,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1532,Gobierno Autónomo Municipal de Porco,PRC,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1533,Gobierno Autónomo Municipal de Arampampa,ARP,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1534,Gobierno Autónomo Municipal de Acasio,ACA,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
