DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIBpc_2021_wmean,decile,departamento_geo,provincia_geo,municipio_geo,depto_key,mun_key,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
Oruro,Mejillones,La Rivera,La Rivera,1989-02-21,413,1968-10-18,-68.6602032728,-19.0621533263,La Rivera,3.589931566239102e-06,10,Oruro,Mejillones,La Rivera,oruro,la rivera,1428,Gobierno Autónomo Municipal de La Rivera,Oruro,municipal,GAM,2918255.0,Mejillones,La Rivera,390.0,509.0,1262.0,616.0,646.0,2312.4049128368
Oruro,Mejillones,Carangas,Carangas,1989-02-21,1464,1993-02-18,-68.665416637,-18.9015713333,Carangas,2.449378143865033e-06,7,Oruro,Mejillones,Carangas,oruro,carangas,1430,Gobierno Autónomo Municipal de Carangas,Oruro,municipal,GAM,5366864.0,Mejillones,Carangas,353.0,840.0,1129.0,575.0,554.0,4753.6439326838
Pando,NicolÃ¡s SuÃ¡rez,Bolpebra,Bolpebra,1951-09-08,CSL,1938-09-24,-69.2256664515,-11.169684333,Bolpebra (Mukden),5.91363232160802e-06,10,Pando,Nicolás Suárez,Bolpebra,pando,bolpebra,1903,Gobierno Autónomo Municipal de Bolpebra,Pando,municipal,GAM,4903243.0,Nicolás Suárez,Bolpebra,1194.0,2173.0,2437.0,1394.0,1043.0,2011.9995896594
Pando,Manuripi,Filadelfia,Filadelfia,1938-09-24,CSL,1938-09-24,-68.5320075511,-11.7561061655,Filadelfia,1.8982228766617482e-06,2,Pando,Manuripi,Filadelfia,pando,filadelfia,1907,Gobierno Autónomo Municipal de Filadelfia,Pando,municipal,GAM,15802755.0,Manuripi,Filadelfia,3145.0,5756.0,8045.0,4487.0,3558.0,1964.2952144189
Oruro,Cercado,Oruro,Oruro,1868-10-07,1669,1995-10-31,-67.0914949032,-17.959984464,Oruro,2.1329713035811437e-06,4,Oruro,Cercado,Oruro,oruro,oruro,1401,Gobierno Autónomo Municipal de Oruro,Oruro,municipal,GAM,577774709.0,Cercado,Oruro,201504.0,264943.0,298350.0,142260.0,156090.0,1936.5668141445
Oruro,Nor Carangas,Huayllamarca,Santiago de Huayllamarca,1990-09-26,1188,1990-09-26,-67.8201577086,-17.927490051,Santiago de Hayllamarca,2.2342871943692444e-06,5,Oruro,Nor Carangas,Huayllamarca,oruro,santiago de huayllamarca,1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,municipal,GAM,11517896.0,Nor Carangas,Santiago de Huayllamarca,5790.0,5502.0,5996.0,3188.0,2808.0,1920.9299533022
La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,1962-12-31,235,1962-12-31,-67.966586437,-17.6335198375,San Pedro de Curahuara,2.1377290977397934e-06,4,La Paz,Gualberto Villarroel,San Pedro de Curahuara,la paz,san pedro de curahuara,1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,La Paz,municipal,GAM,10385954.0,Gualberto Villarroel,San Pedro de Curahuara,8103.0,8858.0,9217.0,4896.0,4321.0,1126.825865249
Cochabamba,Capinota,Sicaya,Sicaya,1908-10-01,631,1984-08-31,-66.3415889589,-17.7912178084,Sicaya,4.03821240979596e-06,10,Cochabamba,Capinota,Sicaya,cochabamba,sicaya,1329,Gobierno Autónomo Municipal de Sicaya,Cochabamba,municipal,GAM,4373205.0,Capinota,Sicaya,2235.0,3740.0,3980.0,2071.0,1909.0,1098.7952261307
Santa Cruz,GermÃ¡n Busch,Puerto Quijarro,Puerto Quijarro,1984-11-30,1263,1991-09-30,-57.6849657212,-18.4262011227,Puerto Quijarro,4.572361285681836e-05,10,Santa Cruz,Germán Busch,Puerto Quijarro,santa cruz,puerto quijarro,1744,Gobierno Autónomo Municipal de Puerto Quijarro,Santa Cruz,municipal,GAM,45697585.0,Germán Busch,Puerto Quijarro,12903.0,16659.0,17974.0,9381.0,8593.0,2542.4271169467
Cochabamba,Capinota,Capinota,Capinota,1908-10-01,ML,1908-10-01,-66.2267897493,-17.7775537755,Capinota,3.720219410752179e-06,10,Cochabamba,Capinota,Capinota,cochabamba,capinota,1327,Gobierno Autónomo Municipal de Capinota,Cochabamba,municipal,GAM,21527872.0,Capinota,Capinota,16945.0,19477.0,19427.0,9365.0,10062.0,1108.1418644155
