status,departamento_pob2021,municipio_pob2021,pob2021_key,poblacion_proyectada_2021,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo
match_exacto,Cochabamba,Tapacarí,tapacari,22986,1330,Gobierno Autónomo Municipal de Tapacari,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Totora,totora,15980,1331,Gobierno Autónomo Municipal de Totora,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Pojo,pojo,10195,1332,Gobierno Autónomo Municipal de Pojo,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Pocona,pocona,9433,1333,Gobierno Autónomo Municipal de Pocona,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Chimoré,chimore,25141,1334,Gobierno Autónomo Municipal de Chimoré,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Puerto Villarroel,puerto villarroel,61769,1335,Gobierno Autónomo Municipal de Puerto Villarroel,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Entre Rios,entre rios,37718,1345,Gobierno Autónomo Municipal de Entre Rios,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Mizque,mizque,28417,1342,Gobierno Autónomo Municipal de Mizque,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Vila Vila,vila vila,4505,1343,Gobierno Autónomo Municipal de Vila Vila,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Alalay,alalay,2538,1344,Gobierno Autónomo Municipal de Alalay,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Punata,punata,44834,1315,Gobierno Autónomo Municipal de Punata,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Villa Rivero,villa rivero,7575,1316,Gobierno Autónomo Municipal de Villa Rivero,Cochabamba,GAM,municipal
match_contiene,Cochabamba,San Benito,san benito,10827,1317,Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza),Cochabamba,GAM,municipal
match_exacto,Cochabamba,Tacachi,tacachi,629,1318,Gobierno Autónomo Municipal de Tacachi,Cochabamba,GAM,municipal
match_manual,Cochabamba,Cuchumuela,cuchumuela,1588,1319,Gobierno Autónomo Municipal Villa Gualberto Villarroel,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Bolívar,bolivar,6503,1340,Gobierno Autónomo Municipal de Bolivar,Cochabamba,GAM,municipal
match_exacto,Cochabamba,Tiraque,tiraque,21131,1341,Gobierno Autónomo Municipal de Tiraque,Cochabamba,GAM,municipal
