status,departamento_nbi,provincia_nbi,municipio_nbi,nbi_key,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,nbi_inadecuados_materiales_vivienda,nbi_insuficientes_espacios_vivienda,nbi_inadecuados_agua_saneamiento,nbi_inadecuados_insumos_energeticos,nbi_insuficiencia_educacion,nbi_inadecuada_atencion_salud,nbi_no_pobre_pct,nbi_necesidades_basicas_satisfechas_pct,nbi_umbral_pct,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct
match_exacto,LA PAZ,Los Andes,Pucarani,pucarani,1261,Gobierno Autónomo Municipal de Pucarani,La Paz,GAM,municipal,18168,25797,28294,12862,18355,14770,43.9,8.2,35.7,56.1,47.7,8.2,0.2
match_exacto,LA PAZ,Los Andes,Laja,laja,1262,Gobierno Autónomo Municipal de Laja,La Paz,GAM,municipal,16136,24582,17496,13382,14624,12743,42.2,8.9,33.3,57.8,48.9,8.8,0.2
match_exacto,LA PAZ,Los Andes,Batallas,batallas,1263,Gobierno Autónomo Municipal de Batallas,La Paz,GAM,municipal,7430,10221,9482,5242,7822,6300,49.7,11.6,38.1,50.3,43.2,7.0,0.1
match_exacto,LA PAZ,Los Andes,Puerto Pérez,puerto perez,1264,Gobierno Autónomo Municipal de Puerto Pérez,La Paz,GAM,municipal,2750,4387,6007,2263,3517,1887,32.5,5.6,26.9,67.5,59.4,7.9,0.2
match_manual,LA PAZ,Aroma,Sicasica,sicasica,1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,GAM,municipal,15225,20658,21232,11828,12372,6942,41.0,7.1,33.9,59.0,51.5,7.2,0.2
match_exacto,LA PAZ,Aroma,Umala,umala,1212,Gobierno Autónomo Municipal de Umala,La Paz,GAM,municipal,3581,4968,5046,3607,3337,2102,39.5,6.8,32.7,60.5,54.0,6.5,0.1
match_exacto,LA PAZ,Aroma,Ayo Ayo,ayo ayo,1213,Gobierno Autónomo Municipal de Ayo Ayo,La Paz,GAM,municipal,6236,6145,8466,4546,4285,2684,30.9,4.2,26.7,69.1,58.5,10.3,0.2
match_exacto,LA PAZ,Aroma,Calamarca,calamarca,1214,Gobierno Autónomo Municipal de Calamarca,La Paz,GAM,municipal,6915,8881,8042,3886,5714,3735,46.0,7.4,38.6,54.0,47.2,6.7,0.1
match_exacto,LA PAZ,Aroma,Patacamaya,patacamaya,1215,Gobierno Autónomo Municipal de Patacamaya,La Paz,GAM,municipal,7653,13529,10645,4534,8484,7131,54.3,11.5,42.8,45.7,39.9,5.7,0.1
match_exacto,LA PAZ,Aroma,Colquencha,colquencha,1216,Gobierno Autónomo Municipal de Colquencha,La Paz,GAM,municipal,4412,6554,8142,2342,3501,1602,57.1,4.7,52.4,42.9,39.3,3.3,0.2
match_exacto,LA PAZ,Aroma,Collana,collana,1217,Gobierno Autónomo Municipal de Collana,La Paz,GAM,municipal,1772,3974,3134,853,1245,899,60.9,7.5,53.4,39.1,35.3,3.5,0.3
match_exacto,LA PAZ,Nor Yungas,Coroico,coroico,1265,Gobierno Autónomo Municipal de Coroico,La Paz,GAM,municipal,10403,17788,12730,9515,9062,4178,51.9,13.5,38.4,48.1,42.5,5.4,0.2
match_exacto,LA PAZ,Nor Yungas,Coripata,coripata,1266,Gobierno Autónomo Municipal de Coripata,La Paz,GAM,municipal,5347,12819,8137,3743,8892,4272,65.6,16.1,49.4,34.4,31.2,3.1,0.1
