status,departamento_pibpc,provincia_pibpc,municipio_pibpc,municipio_alt_pibpc,pibpc_key,pibpc_alt_key,pib_usd2017,poblacion_estimada_2021,pibpc_usd2017,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,presupuesto_total_sigep
match_exacto,Chuquisaca,Oropeza,Yotala,Yotala,yotala,yotala,28293203.94944656,11158.104983676823,2535.663895512423,1102,Gobierno Autónomo Municipal de Yotala,Chuquisaca,GAM,municipal,12144616.0
match_exacto,Potosí,Cornelio Saavedra,Tacobamba,Tacobamba,tacobamba,tacobamba,15288639.550144644,6984.346852747386,2188.98629642522,1510,Gobierno Autónomo Municipal de Tacobamba,Potosí,GAM,municipal,16412622.0
match_exacto,Potosí,Cornelio Saavedra,Betanzos,Betanzos,betanzos,betanzos,73840938.18113284,35977.43890176854,2052.4234196532275,1508,Gobierno Autónomo Municipal de Betanzos,Potosí,GAM,municipal,33608920.0
match_manual,Chuquisaca,Zudáñez,Villa Ricardo Mugia - Icla,Icla (R.Mujia),villa ricardo mugia icla,icla r mujia,13148019.928053409,7452.8591760030495,1764.1578376239572,1109,Gobierno Autónomo Municipal de Icla,Chuquisaca,GAM,municipal,9947023.0
match_exacto,Oruro,Litoral,Cruz de Machacamarca,Cruz de Machacamarca,cruz de machacamarca,cruz de machacamarca,9782254.575223662,3008.4737077730883,3251.5672481859965,1420,Gobierno Autónomo Municipal de Cruz de Machacamarca,Oruro,GAM,municipal,3013700.0
match_exacto,Pando,Nicolás Suárez,Porvenir,Porvenir,porvenir,porvenir,27348228.570433497,11050.608843727729,2474.816451942032,1902,Gobierno Autónomo Municipal de Porvenir,Pando,GAM,municipal,19023658.0
match_exacto,La Paz,Inquisivi,Colquiri,Colquiri,colquiri,colquiri,35352511.46549639,16087.473648156256,2197.5179098147614,1221,Gobierno Autónomo Municipal de Colquiri,La Paz,GAM,municipal,29951096.0
match_exacto,La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,santiago de callapa,santiago de callapa,13014596.433886724,6055.321843615669,2149.282361862971,1245,Gobierno Autónomo Municipal de Santiago de Callapa,La Paz,GAM,municipal,7949954.0
match_exacto,Cochabamba,Cercado,Cochabamba,Cochabamba,cochabamba,cochabamba,3457488617.941836,755955.8434088483,4573.664782258851,1301,Gobierno Autónomo Municipal de Cochabamba,Cochabamba,GAM,municipal,1632368430.0
match_exacto,La Paz,General José Manuel Pand,Catacora,Catacora,catacora,catacora,6027916.608539705,2868.443577466866,2101.45901278734,1275,Gobierno Autónomo Municipal de Catacora,La Paz,GAM,municipal,4890386.0
match_exacto,La Paz,Loayza,Yaco,Yaco,yaco,yaco,25411201.38441112,12192.011846575017,2084.2500568558453,1253,Gobierno Autónomo Municipal de Yaco,La Paz,GAM,municipal,15412548.0
match_exacto,La Paz,Pacajes,Calacoto,Calacoto,calacoto,calacoto,28669525.119505,16437.866818776707,1744.1146978241889,1240,Gobierno Autónomo Municipal de Calacoto,La Paz,GAM,municipal,11257213.0
match_exacto,Oruro,Poopó,Antequera,Antequera (Bolivar),antequera,antequera bolivar,8411204.10699157,3535.2905118486865,2379.211575060391,1410,Gobierno Autónomo Municipal de Antequera,Oruro,GAM,municipal,10684771.0
match_exacto,Potosí,Rafael Bustillo,Llallagua,Llallagua,llallagua,llallagua,103949770.06655876,36155.133713740666,2875.104013985513,1507,Gobierno Autónomo Municipal de Llallagua,Potosí,GAM,municipal,60503562.0
match_exacto,Potosí,Alonso de Ibáñez,Caripuyo,Caripuyo,caripuyo,caripuyo,16241963.878750945,8802.241741541493,1845.2076591010064,1527,Gobierno Autónomo Municipal de Caripuyo,Potosí,GAM,municipal,8798383.0
match_exacto,La Paz,Aroma,Collana,Collana,collana,collana,7972798.291689534,3576.806248863932,2229.0271647288305,1217,Gobierno Autónomo Municipal de Collana,La Paz,GAM,municipal,8833532.0
match_exacto,Oruro,Sur Carangas,Belen de Andamarca,Belen de Andamarca,belen de andamarca,belen de andamarca,4750053.405129925,2260.2649275130807,2101.547189141365,1425,Gobierno Autónomo Municipal de Belén de Andamarca,Oruro,GAM,municipal,3363289.0
match_contiene,Cochabamba,Punata,San Benito,San Benito,san benito,san benito,50406145.51093154,17535.13562705015,2874.579734255019,1317,Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza),Cochabamba,GAM,municipal,25297045.0
match_exacto,Oruro,Carangas,Corque,Corque,corque,corque,20394430.945912227,8911.363150571255,2288.587122005556,1414,Gobierno Autónomo Municipal de Corque,Oruro,GAM,municipal,17924466.0
match_exacto,Cochabamba,Campero,Aiquile,Aiquile,aiquile,aiquile,41500911.48666817,16980.624580088584,2444.015606783509,1307,Gobierno Autónomo Municipal de Aiquile,Cochabamba,GAM,municipal,25748151.0
match_contiene,Potosí,Alonso de Ibáñez,Sacaca,Sacaca,sacaca,sacaca,34028036.79757314,17324.616159088866,1964.1437642889016,1526,Gobierno Autónomo Municipal de Sacaca (Villa de Sacaca),Potosí,GAM,municipal,18065632.0
match_exacto,Potosí,General Bilbao,Acasio,Acasio,acasio,acasio,14132701.851189123,7335.591033419989,1926.593479216929,1534,Gobierno Autónomo Municipal de Acasio,Potosí,GAM,municipal,4636348.0
match_exacto,Oruro,Pantaleón Dalence,Huanuni,Villa Huanuni,huanuni,villa huanuni,68864367.8405085,25591.51275465262,2690.906493129787,1406,Gobierno Autónomo Municipal de Huanuni,Oruro,GAM,municipal,30838958.0
match_exacto,La Paz,Pacajes,Corocoro,Corocoro,corocoro,corocoro,21714355.508280262,8910.76885533113,2436.8666566060697,1238,Gobierno Autónomo Municipal de Corocoro,La Paz,GAM,municipal,15484722.0
